DateKey,FullDateAlternateKey,DayNumberOfWeek,DayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,MonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20170701,7/1/2017,7,Saturday,1,182,26,July,7,3,2017,2,1,2018,1
20170702,7/2/2017,1,Sunday,2,183,27,July,7,3,2017,2,1,2018,1
20170703,7/3/2017,2,Monday,3,184,27,July,7,3,2017,2,1,2018,1
20170704,7/4/2017,3,Tuesday,4,185,27,July,7,3,2017,2,1,2018,1
20170705,7/5/2017,4,Wednesday,5,186,27,July,7,3,2017,2,1,2018,1
20170706,7/6/2017,5,Thursday,6,187,27,July,7,3,2017,2,1,2018,1
20170707,7/7/2017,6,Friday,7,188,27,July,7,3,2017,2,1,2018,1
20170708,7/8/2017,7,Saturday,8,189,27,July,7,3,2017,2,1,2018,1
20170709,7/9/2017,1,Sunday,9,190,28,July,7,3,2017,2,1,2018,1
20170710,7/10/2017,2,Monday,10,191,28,July,7,3,2017,2,1,2018,1
20170711,7/11/2017,3,Tuesday,11,192,28,July,7,3,2017,2,1,2018,1
20170712,7/12/2017,4,Wednesday,12,193,28,July,7,3,2017,2,1,2018,1
20170713,7/13/2017,5,Thursday,13,194,28,July,7,3,2017,2,1,2018,1
20170714,7/14/2017,6,Friday,14,195,28,July,7,3,2017,2,1,2018,1
20170715,7/15/2017,7,Saturday,15,196,28,July,7,3,2017,2,1,2018,1
20170716,7/16/2017,1,Sunday,16,197,29,July,7,3,2017,2,1,2018,1
20170717,7/17/2017,2,Monday,17,198,29,July,7,3,2017,2,1,2018,1
20170718,7/18/2017,3,Tuesday,18,199,29,July,7,3,2017,2,1,2018,1
20170719,7/19/2017,4,Wednesday,19,200,29,July,7,3,2017,2,1,2018,1
20170720,7/20/2017,5,Thursday,20,201,29,July,7,3,2017,2,1,2018,1
20170721,7/21/2017,6,Friday,21,202,29,July,7,3,2017,2,1,2018,1
20170722,7/22/2017,7,Saturday,22,203,29,July,7,3,2017,2,1,2018,1
20170723,7/23/2017,1,Sunday,23,204,30,July,7,3,2017,2,1,2018,1
20170724,7/24/2017,2,Monday,24,205,30,July,7,3,2017,2,1,2018,1
20170725,7/25/2017,3,Tuesday,25,206,30,July,7,3,2017,2,1,2018,1
20170726,7/26/2017,4,Wednesday,26,207,30,July,7,3,2017,2,1,2018,1
20170727,7/27/2017,5,Thursday,27,208,30,July,7,3,2017,2,1,2018,1
